watermark_method,project,language,seed_group,rng_seed,method_config,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
ewd,caro,python,1598859076,1598859076,caro_game_ewd_T=0.7_rngS=1598859076_gamma=0.5_hashKey=15485863_prefixLen=1,39,39,1,6,1,31,1,0,0.153846,2.0,2.3,1.3,2.625,1.325,0.153846,2.0,1
ewd,caro,python,1598859076,1598859076,caro_game_ewd_T=0.7_rngS=1598859076_gamma=0.5_hashKey=15485917_prefixLen=1,43,43,1,17,2,24,0,0,0.395349,2.076471,2.2,0.9,2.9,2.0,0.395349,2.076471,1
ewd,caro,python,1598859076,1598859076,caro_game_ewd_T=0.7_rngS=1598859076_gamma=0.5_hashKey=23873851_prefixLen=1,37,37,1,4,0,32,1,0,0.108108,1.6,1.75,1.225,2.125,0.9,0.108108,1.6,1
ewd,caro,python,1598859076,1598859076,caro_game_ewd_T=0.7_rngS=1598859076_gamma=0.5_hashKey=36728353_prefixLen=1,45,45,1,15,0,28,2,0,0.333333,1.553333,1.5,0.75,2.05,1.3,0.333333,1.553333,1
ewd,caro,python,1598859076,1598859076,caro_game_ewd_T=0.7_rngS=1598859076_gamma=0.5_hashKey=47646761_prefixLen=1,42,42,1,15,3,23,1,0,0.357143,2.226667,2.2,1.15,3.55,2.4,0.357143,2.226667,1
ewd,caro,python,1598859076,1598859076,caro_game_ewd_T=0.7_rngS=1598859076_gamma=0.5_hashKey=83782121_prefixLen=1,40,40,1,9,0,30,1,0,0.225,1.377778,1.4,0.6,1.7,1.1,0.225,1.377778,1
ewd,flappy_bird,cpp,,95729506,flappy_bird_game_ewd_T=0.7_rngS=95729506_gamma=0.5_hashKey=15485863_prefixLen=1,18,18,1,0,18,0,0,0,0.0,,,,,,0.0,,0
ewd,flappy_bird,cpp,,95729506,flappy_bird_game_ewd_T=0.7_rngS=95729506_gamma=0.5_hashKey=15485917_prefixLen=1,31,31,1,3,28,0,0,0,0.096774,3.7,3.2,3.15,4.0,0.85,0.096774,3.7,1
ewd,flappy_bird,cpp,,95729506,flappy_bird_game_ewd_T=0.7_rngS=95729506_gamma=0.5_hashKey=23873851_prefixLen=1,25,25,1,0,25,0,0,0,0.0,,,,,,0.0,,0
ewd,flappy_bird,cpp,,95729506,flappy_bird_game_ewd_T=0.7_rngS=95729506_gamma=0.5_hashKey=36728353_prefixLen=1,21,21,1,0,21,0,0,0,0.0,,,,,,0.0,,0
