paradigm,method,dataset_or_workload,sample_or_seed,repeat,input_or_prompt_tokens,generated_or_watermarked_tokens,extraction_reference_tokens,baseline_generated_tokens,input_internal_tokens,watermarked_internal_tokens,input_model_tokens,watermarked_model_tokens,input_truncated,watermarked_truncated,input_sha256,output_sha256,baseline_output_sha256,tokenizer_identifier,pair_order
semantic-preserving,CodeMark,csn_js,test#591,0,60,63,63,,66,72,66,72,False,False,088899f0ed55d6f44258b25ff64e62abe9ffe278875dfc4948ef9f59d60cbcfb,7c0a2b1b6a96c0b9a7fd66de43986791981a5d253a571a0fc856819b9263512b,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#592,0,41,38,38,,44,47,44,47,False,False,b76072279344f6d394039c94221bb325fee869c42225ca592cf2cbba1a92dfbb,0bd51a076f1cb418a5c7f45f30e4ac381cf25cdb80d6f3a0d6065c3abc4e1f08,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#593,0,84,75,75,,80,83,80,83,False,False,d30ba15f6b94621a8d5451c737ca9743000439ed42ed28a4cdd0813ad3cd5ea5,92361b146e1803c464a536df002bb87f81a5499542eed959f7547124076d8f07,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#594,0,33,30,30,,37,37,37,37,False,False,89350d104f7807791722ba0641c62a155aae69ab35b2d21dd088989533c8ce41,cdfee9c8eb03ae13631c510f7cbd89d1200f57e2c8c1ea9a3ef222fa98283ff4,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#595,0,217,190,190,,224,224,224,224,False,False,626bb9720fb2dd0ee814fee34eaebf44634a46213196b5fedfc4a0975b5f8711,35cb4f61654dc9b21cf506694a9c5e492bd54d029078b175e21ca90ca66b2da8,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#596,0,80,75,75,,91,95,91,95,False,False,7af1d3b7a68b2b7b0c2c73fb17c25a2a3285a4ef60c61613222688eb3b99d913,000f583cdc543bc8825fa7aea9e5c70ef5850fb0d1d8f611f764a01f80b00293,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#597,0,296,258,258,,278,274,278,274,False,False,b7f5be0e5b3ba885d174fe9db65302eb5c5c64f42a3153cf36e1012f986e3c50,b658cd1078fb3066eb291ffaecd0040a198d38111d1fb21b500c55f5da51562c,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#598,0,37,31,31,,31,32,31,32,False,False,5c9ac5da913076b22b8b8b9121055bc7da29dd00633fee65ce7f39ac09f91db3,1114fe8b79d697d9a41948d27f79bbd5a5a1f2d498869a5609195751971ec4fc,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#599,0,38,42,42,,36,44,36,44,False,False,ac7a59bc9556ca0784d21058ac4988fecf42c7b110ceeeb213ad5c2f04ea384e,5bbb087d3876de8a9c17fc65f5bdd41a02d3bdd56b3f87620b1c5fda8a9897ef,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#600,0,63,63,63,,63,65,63,65,False,False,0a7a72a42b2a48767ecd45cdc681e2ee908e37cacf9974b00034877baca3d00f,b9813d76d30c169ea7d57da05ce74cada0b534f6f86150cdd0d6264f7d0c3eb0,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
