paradigm,method,dataset_or_workload,sample_or_seed,repeat,embedding_seconds,baseline_generation_seconds,watermarked_generation_seconds,paired_generation_delta_seconds,extraction_seconds,embedding_reference_tokens,extraction_reference_tokens,embedding_ms_per_1k_tokens,baseline_generation_ms_per_1k_tokens,watermarked_generation_ms_per_1k_tokens,paired_generation_delta_ms_per_1k_tokens,extraction_ms_per_1k_tokens
semantic-preserving,SrcMarker,csn_js,test#2477,0,0.013304236345,,,,0.008940018713,139,153,95.713930540,,,,58.431494859
semantic-preserving,SrcMarker,csn_js,test#2478,0,0.022804076783,,,,0.015645597130,293,296,77.829613595,,,,52.856747061
semantic-preserving,SrcMarker,csn_js,test#2479,0,0.008448456414,,,,0.004726240411,93,81,90.843617355,,,,58.348647054
semantic-preserving,SrcMarker,csn_js,test#2480,0,0.010883556679,,,,0.005909007974,93,92,117.027491171,,,,64.228347543
semantic-preserving,SrcMarker,csn_js,test#2481,0,0.010534765199,,,,0.005840722471,97,94,108.605826792,,,,62.135345441
semantic-preserving,SrcMarker,csn_js,test#2482,0,0.007402682677,,,,0.004285767674,75,77,98.702435692,,,,55.659320447
semantic-preserving,SrcMarker,csn_js,test#2483,0,0.007814060897,,,,0.004676957615,82,78,95.293425569,,,,59.960995061
semantic-preserving,SrcMarker,csn_js,test#2484,0,0.026226592250,,,,0.017886881717,333,359,78.758535286,,,,49.824183054
semantic-preserving,SrcMarker,csn_js,test#2485,0,0.009521392174,,,,0.005631304346,105,99,90.679925467,,,,56.881862081
semantic-preserving,SrcMarker,csn_js,test#2486,0,0.038321304135,,,,0.022267569788,448,463,85.538625301,,,,48.094103213
semantic-preserving,SrcMarker,csn_js,test#2487,0,0.009386454709,,,,0.006479227915,91,109,103.147853944,,,,59.442457940
semantic-preserving,SrcMarker,csn_js,test#2488,0,0.016970316879,,,,0.011496718042,208,231,81.588061920,,,,49.769342171
semantic-preserving,SrcMarker,csn_js,test#2489,0,0.016215094365,,,,0.009474031627,198,199,81.894415986,,,,47.608199132
semantic-preserving,SrcMarker,csn_js,test#2490,0,0.013375111856,,,,0.007817128673,146,147,91.610355175,,,,53.177746076
semantic-preserving,SrcMarker,csn_js,test#2491,0,0.011529176496,,,,0.008399534971,121,157,95.282450380,,,,53.500222742
semantic-preserving,SrcMarker,csn_js,test#2492,0,0.024240387604,,,,0.013528916053,282,259,85.958821290,,,,52.235197118
semantic-preserving,SrcMarker,csn_js,test#2493,0,0.031393931247,,,,0.019895159639,338,370,92.881453394,,,,53.770701728
semantic-preserving,SrcMarker,csn_js,test#2494,0,0.009322510101,,,,0.005554653704,92,88,101.331631532,,,,63.121064820
semantic-preserving,SrcMarker,csn_js,test#2495,0,0.005742885172,,,,0.003371255472,42,40,136.735361247,,,,84.281386808
semantic-preserving,SrcMarker,csn_js,test#2496,0,0.007513143122,,,,0.004358118400,67,72,112.136464510,,,,60.529422222
semantic-preserving,SrcMarker,csn_js,test#2497,0,0.010171339847,,,,0.007258488797,90,115,113.014887191,,,,63.117293884
semantic-preserving,SrcMarker,csn_js,test#2498,0,0.013553011231,,,,0.008136002347,176,157,77.005745631,,,,51.821670999
semantic-preserving,SrcMarker,csn_js,test#2499,0,0.008552674204,,,,0.005537435412,117,105,73.099779522,,,,52.737480118
semantic-preserving,SrcMarker,csn_js,test#2500,0,0.007661487907,,,,0.004481275566,63,75,121.610919161,,,,59.750340879
semantic-preserving,SrcMarker,csn_js,test#2501,0,0.008636780083,,,,0.005076427013,94,82,91.880639183,,,,61.907646496
semantic-preserving,SrcMarker,csn_js,test#2502,0,0.008683367632,,,,0.004946248606,93,85,93.369544434,,,,58.191160069
semantic-preserving,SrcMarker,csn_js,test#2503,0,0.005275977775,,,,0.002720008604,41,43,128.682384767,,,,63.256014052
semantic-preserving,SrcMarker,csn_js,test#2504,0,0.004557772540,,,,0.002401717938,33,37,138.114319380,,,,64.911295635
semantic-preserving,SrcMarker,csn_js,test#2505,0,0.006052592769,,,,0.003100560047,57,51,106.185838057,,,,60.795295034
semantic-preserving,SrcMarker,csn_js,test#2506,0,0.007352845743,,,,0.004088447429,62,64,118.594286182,,,,63.881991082
semantic-preserving,SrcMarker,csn_js,test#2507,0,0.005816413090,,,,0.003380537964,48,51,121.175272701,,,,66.285058126
semantic-preserving,SrcMarker,csn_js,test#2508,0,0.007551776245,,,,0.004067034461,61,60,123.799610578,,,,67.783907677
semantic-preserving,SrcMarker,csn_js,test#2509,0,0.012818292715,,,,0.007883201353,137,141,93.564180399,,,,55.909229456
semantic-preserving,SrcMarker,csn_js,test#2510,0,0.019379368983,,,,0.012955587357,204,207,94.996906780,,,,62.587378538
semantic-preserving,SrcMarker,csn_js,test#2511,0,0.005366719328,,,,0.003281924874,43,49,124.807426229,,,,66.978058645
semantic-preserving,SrcMarker,csn_js,test#2512,0,0.022758433595,,,,0.015512840822,307,295,74.131705522,,,,52.585901093
semantic-preserving,SrcMarker,csn_js,test#2513,0,0.007206552662,,,,0.004638537765,86,75,83.797123976,,,,61.847170194
semantic-preserving,SrcMarker,csn_js,test#2514,0,0.016127988696,,,,0.010314627551,197,204,81.867962924,,,,50.561899758
semantic-preserving,SrcMarker,csn_js,test#2515,0,0.006186714396,,,,0.003435945138,53,62,116.730460300,,,,55.418469973
semantic-preserving,SrcMarker,csn_js,test#2516,0,0.005666290410,,,,0.002979339100,48,44,118.047716872,,,,67.712252282
semantic-preserving,SrcMarker,csn_js,test#2517,0,0.013160385191,,,,0.008750656620,145,176,90.761277182,,,,49.719639884
semantic-preserving,SrcMarker,csn_js,test#2518,0,0.009184731171,,,,0.004958968610,94,91,97.709906070,,,,54.494160545
semantic-preserving,SrcMarker,csn_js,test#2519,0,0.007202266715,,,,0.004048986360,64,60,112.535417429,,,,67.483106007
semantic-preserving,SrcMarker,csn_js,test#2520,0,0.017338448204,,,,0.012006003410,181,202,95.792531514,,,,59.435660444
semantic-preserving,SrcMarker,csn_js,test#2521,0,0.014300364070,,,,0.007789680734,118,145,121.189526014,,,,53.721936098
semantic-preserving,SrcMarker,csn_js,test#2522,0,0.007600214332,,,,0.004004897550,53,58,143.400270422,,,,69.049957754
semantic-preserving,SrcMarker,csn_js,test#2523,0,0.007439826615,,,,0.004223151132,65,71,114.458871002,,,,59.481001866
semantic-preserving,SrcMarker,csn_js,test#2524,0,0.032288415357,,,,0.021857111715,363,412,88.948802638,,,,53.051242026
semantic-preserving,SrcMarker,csn_js,test#2525,0,0.006273106672,,,,0.003624367528,55,58,114.056484943,,,,62.489095305
semantic-preserving,SrcMarker,csn_js,test#2526,0,0.006427503191,,,,0.003785002977,66,65,97.386411984,,,,58.230815025
semantic-preserving,SrcMarker,csn_js,test#2527,0,0.006186873652,,,,0.003889190964,48,63,128.893201084,,,,61.733189911
semantic-preserving,SrcMarker,csn_js,test#2528,0,0.005058949813,,,,0.002592067234,32,36,158.092181664,,,,72.001867617
semantic-preserving,SrcMarker,csn_js,test#2529,0,0.004562336951,,,,0.002543447539,29,32,157.321963845,,,,79.482735600
semantic-preserving,SrcMarker,csn_js,test#2530,0,0.017214067280,,,,0.009752061218,218,197,78.963611377,,,,49.502848822
semantic-preserving,SrcMarker,csn_js,test#2531,0,0.006367262453,,,,0.003804453649,77,79,82.691720167,,,,48.157641122
semantic-preserving,SrcMarker,csn_js,test#2532,0,0.009101992473,,,,0.005329749547,91,100,100.021895308,,,,53.297495469
semantic-preserving,SrcMarker,csn_js,test#2533,0,0.006875000894,,,,0.003946968354,58,58,118.534498174,,,,68.051178522
semantic-preserving,SrcMarker,csn_js,test#2534,0,0.005415440537,,,,0.003188394941,46,39,117.726968196,,,,81.753716446
semantic-preserving,SrcMarker,csn_js,test#2535,0,0.006870476529,,,,0.004348798655,52,68,132.124548635,,,,63.952921397
semantic-preserving,SrcMarker,csn_js,test#2536,0,0.007502292283,,,,0.005058078095,60,79,125.038204715,,,,64.026305004
semantic-preserving,SrcMarker,csn_js,test#2537,0,0.016023085453,,,,0.009381602518,263,275,60.924279288,,,,34.114918248
semantic-preserving,SrcMarker,csn_js,test#2538,0,0.007635407150,,,,0.005014365539,48,59,159.070982287,,,,84.989246423
semantic-preserving,SrcMarker,csn_js,test#2539,0,0.008376605809,,,,0.005476051942,70,84,119.665797268,,,,65.191094542
semantic-preserving,SrcMarker,csn_js,test#2540,0,0.027496842667,,,,0.017388050444,297,295,92.581961843,,,,58.942543879
semantic-preserving,SrcMarker,csn_js,test#2541,0,0.013651973568,,,,0.007999096997,125,127,109.215788543,,,,62.985015725
semantic-preserving,SrcMarker,csn_js,test#2542,0,0.017811782658,,,,0.011414830573,191,199,93.255406587,,,,57.360957653
semantic-preserving,SrcMarker,csn_js,test#2543,0,0.009712796658,,,,0.006439655088,88,103,110.372689299,,,,62.520923183
semantic-preserving,SrcMarker,csn_js,test#2544,0,0.011492241174,,,,0.008449917659,132,152,87.062433136,,,,55.591563547
semantic-preserving,SrcMarker,csn_js,test#2545,0,0.009728289209,,,,0.006513373926,122,129,79.740075486,,,,50.491270746
semantic-preserving,SrcMarker,csn_js,test#2546,0,0.013978539966,,,,0.008360872976,128,134,109.207343485,,,,62.394574451
semantic-preserving,SrcMarker,csn_js,test#2547,0,0.005650470965,,,,0.002884461544,47,49,120.222786481,,,,58.866562132
